file,x1,x2,y1,y2,mask,date,start_time,frame no,quadrant,true_mask
park-tests/converted/coverted_FRAMES/20210526_182313_1248_3,720,763,185,246,0,20210526,182313,1248,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_4876_3,13,40,3,40,1,20210526,182313,4876,3,1
park-tests/converted/coverted_FRAMES/20210526_182313_4876_3,695,736,201,254,0,20210526,182313,4876,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_4397_1,573,663,326,430,1,20210526,182313,4397,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_4397_1,893,973,346,452,1,20210526,182313,4397,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_3767_1,1388,1413,81,112,0,20210526,182313,3767,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_2268_3,696,734,201,256,0,20210526,182313,2268,3,0
park-tests/converted/coverted_FRAMES/20210614_154716_4359_1,1820,1842,230,256,0,20210614,154716,4359,1,0
park-tests/converted/coverted_FRAMES/20210526_182313_1458_1,1140,1192,198,266,1,20210526,182313,1458,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_1458_1,1377,1426,146,224,1,20210526,182313,1458,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_5405_3,696,731,201,247,0,20210526,182313,5405,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_4741_3,706,746,176,239,0,20210526,182313,4741,3,0
park-tests/converted/coverted_FRAMES/20210614_154716_2861_1,981,1031,359,426,1,20210614,154716,2861,1,0
park-tests/converted/coverted_FRAMES/20210614_154716_6136_1,1794,1818,258,292,0,20210614,154716,6136,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_1278_3,723,765,184,242,0,20210526,182313,1278,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_3932_3,697,737,211,251,1,20210526,182313,3932,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_4367_1,1721,1753,34,74,0,20210526,182313,4367,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_4367_1,1894,1919,32,83,0,20210526,182313,4367,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_2523_1,448,537,312,408,1,20210526,182313,2523,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_3722_3,691,735,210,261,1,20210526,182313,3722,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_3917_3,689,729,209,261,0,20210526,182313,3917,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_4217_3,693,732,208,258,0,20210526,182313,4217,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_2118_3,693,730,199,253,0,20210526,182313,2118,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_2658_1,1216,1283,274,342,1,20210526,182313,2658,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_2658_1,816,877,241,325,1,20210526,182313,2658,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_2013_4,870,927,0,79,1,20210526,182313,2013,4,2
park-tests/converted/coverted_FRAMES/20210526_182313_754_3,591,632,174,234,0,20210526,182313,754,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_5345_3,691,732,208,260,0,20210526,182313,5345,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_4711_3,696,737,200,257,0,20210526,182313,4711,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_3018_1,1824,1849,0,21,0,20210526,182313,3018,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_3092_3,702,740,208,252,0,20210526,182313,3092,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_4831_3,692,733,201,254,1,20210526,182313,4831,3,0
park-tests/converted/coverted_FRAMES/20210526_165204_1312_1,459,509,241,315,1,20210526,165204,1312,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_4277_3,690,723,206,255,0,20210526,182313,4277,3,0
park-tests/converted/coverted_FRAMES/20210526_165204_1981_1,910,965,194,282,0,20210526,165204,1981,1,1
park-tests/converted/coverted_FRAMES/20210526_165204_1981_1,1224,1250,78,111,1,20210526,165204,1981,1,0
park-tests/converted/coverted_FRAMES/20210526_182313_5344_3,692,734,209,260,0,20210526,182313,5344,3,0
park-tests/converted/coverted_FRAMES/20210526_170716_671_1,423,473,557,609,0,20210526,170716,671,1,0
park-tests/converted/coverted_FRAMES/20210526_182313_4202_3,703,741,208,249,0,20210526,182313,4202,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_4202_3,685,718,204,239,0,20210526,182313,4202,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_1638_3,699,739,195,250,1,20210526,182313,1638,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_1548_3,696,735,196,248,1,20210526,182313,1548,3,0
park-tests/converted/coverted_FRAMES/20210526_170716_2129_4,431,462,776,816,0,20210526,170716,2129,4,2
park-tests/converted/coverted_FRAMES/20210526_182313_3602_3,691,730,213,262,0,20210526,182313,3602,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_3632_3,689,728,207,260,0,20210526,182313,3632,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_4592_2,1533,1651,616,705,1,20210526,182313,4592,2,2
park-tests/converted/coverted_FRAMES/20210526_170716_1655_4,1651,1682,939,976,0,20210526,170716,1655,4,2
park-tests/converted/coverted_FRAMES/20210526_182313_5600_3,690,733,208,260,0,20210526,182313,5600,3,0
park-tests/converted/coverted_FRAMES/20210526_163653_10781_1,1269,1292,83,116,0,20210526,163653,10781,1,0
park-tests/converted/coverted_FRAMES/20210614_154716_5365_1,1297,1352,341,420,1,20210614,154716,5365,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_3542_3,690,733,212,260,1,20210526,182313,3542,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_1083_1,1113,1174,161,239,1,20210526,182313,1083,1,1
park-tests/converted/coverted_FRAMES/20210614_154716_6147_1,1655,1687,289,332,0,20210614,154716,6147,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_5480_3,694,735,208,257,0,20210526,182313,5480,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_3197_3,690,733,212,263,0,20210526,182313,3197,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_1068_1,1661,1700,15,70,1,20210526,182313,1068,1,1
park-tests/converted/coverted_FRAMES/20210526_165204_8993_1,789,833,242,302,0,20210526,165204,8993,1,0
park-tests/converted/coverted_FRAMES/20210526_182313_5525_3,695,733,213,257,0,20210526,182313,5525,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_3377_1,412,518,390,511,1,20210526,182313,3377,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_3377_1,756,852,419,525,1,20210526,182313,3377,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_6821_1,1179,1231,110,175,1,20210526,182313,6821,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_6821_1,1552,1596,16,80,1,20210526,182313,6821,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_6821_1,696,774,156,254,1,20210526,182313,6821,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_6821_1,1404,1436,54,97,0,20210526,182313,6821,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_6821_1,958,1041,218,317,1,20210526,182313,6821,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_6821_1,1759,1807,23,89,1,20210526,182313,6821,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_6821_1,1846,1881,18,69,0,20210526,182313,6821,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_6821_1,585,637,246,302,1,20210526,182313,6821,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_6821_1,1592,1631,2,49,1,20210526,182313,6821,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_4502_3,704,740,200,248,0,20210526,182313,4502,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_1383_3,688,714,197,232,0,20210526,182313,1383,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_1383_3,692,732,200,248,0,20210526,182313,1383,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_2088_3,695,733,200,252,0,20210526,182313,2088,3,0
park-tests/converted/coverted_FRAMES/20210526_165204_1282_1,1590,1615,11,48,0,20210526,165204,1282,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_1503_3,691,721,196,240,0,20210526,182313,1503,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_1503_3,701,738,201,248,0,20210526,182313,1503,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_4681_3,708,742,200,243,0,20210526,182313,4681,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_4681_3,688,707,194,224,0,20210526,182313,4681,3,2
park-tests/converted/coverted_FRAMES/20210526_182313_4382_3,703,739,190,246,0,20210526,182313,4382,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_1218_3,707,745,201,244,0,20210526,182313,1218,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_3302_1,1825,1857,14,58,0,20210526,182313,3302,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_2133_3,694,734,201,254,1,20210526,182313,2133,3,0
park-tests/converted/coverted_FRAMES/20210614_154716_5376_1,1080,1149,371,467,1,20210614,154716,5376,1,1
park-tests/converted/coverted_FRAMES/20210526_182313_3227_3,689,733,209,266,0,20210526,182313,3227,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_2958_3,703,732,200,251,0,20210526,182313,2958,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_3377_3,698,741,197,256,0,20210526,182313,3377,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_1938_3,703,737,201,248,0,20210526,182313,1938,3,0
park-tests/converted/coverted_FRAMES/20210526_182313_4397_3,696,738,198,255,0,20210526,182313,4397,3,0
